"nct_id","pmid","reference_type"
"NCT00819169",24816908,"one-to-one"
"NCT00815646",26882910,"one-to-one"
"NCT00815698",23203909,"one-to-one"
"NCT00815698",20433715,"one-to-one"
"NCT00813397",25348087,"one-to-one"
"NCT00810641",22170885,"one-to-one"
"NCT00815776",22916669,"one-to-one"
"NCT00819611",24628438,"one-to-one"
"NCT00815178",21200342,"one-to-one"
"NCT00810433",20819219,"one-to-one"
"NCT00817180",23407019,"one-to-one"
"NCT00701038",19567491,"one-to-one"
"NCT00709319",21571677,"one-to-one"
"NCT00707811",21060320,"one-to-one"
"NCT00700934",25938292,"one-to-one"
"NCT00700934",24525449,"one-to-one"
"NCT00705445",24225451,"one-to-one"
"NCT00705445",23602230,"one-to-one"
"NCT00707720",19796996,"one-to-one"
"NCT00707525",22865900,"one-to-one"
"NCT00700427",28058589,"one-to-one"
"NCT00700427",26329980,"one-to-one"
"NCT00700427",23648011,"one-to-one"
"NCT00703157",30354411,"one-to-one"
"NCT00701792",19189904,"one-to-one"
"NCT00708435",23935011,"one-to-one"
"NCT00709280",23742699,"one-to-one"
"NCT00709280",22610452,"one-to-one"
"NCT00707746",22507979,"one-to-one"
"NCT00707746",20707601,"one-to-one"
"NCT00705172",23632904,"one-to-one"
"NCT00706589",24021518,"one-to-one"
"NCT00705458",26052677,"one-to-one"
"NCT00705458",19577217,"one-to-one"
"NCT00702910",23232038,"one-to-one"
"NCT00707577",22704742,"one-to-one"
"NCT00700310",25878175,"one-to-one"
"NCT00700310",25823975,"one-to-one"
"NCT00700310",23663001,"one-to-one"
"NCT00700310",22517103,"one-to-one"
"NCT00709202",30542300,"one-to-one"
"NCT00704301",21056464,"one-to-one"
"NCT00701428",27548072,"one-to-one"
"NCT00701428",26414380,"one-to-one"
"NCT00702468",25475413,"one-to-one"
"NCT00709501",22099238,"one-to-one"
"NCT00702455",28508330,"one-to-one"
"NCT00702455",27923968,"one-to-one"
"NCT00702455",24629554,"one-to-one"
"NCT00708461",23979097,"one-to-one"
"NCT00708461",23108493,"one-to-one"
"NCT00708461",22340088,"one-to-one"
"NCT00708461",21952267,"one-to-one"
"NCT00708461",21732212,"one-to-one"
"NCT00709631",22772403,"one-to-one"
"NCT00706147",29367439,"one-to-one"
"NCT00706342",19096013,"one-to-one"
"NCT00702026",24920528,"one-to-one"
"NCT00702026",24588932,"one-to-one"
"NCT00706082",24515598,"one-to-one"
"NCT00707122",30261898,"one-to-one"
"NCT00707122",29787743,"one-to-one"
"NCT00707122",28411114,"one-to-one"
"NCT00707122",26847922,"one-to-one"
"NCT00707122",24635772,"one-to-one"
"NCT00703742",25393297,"one-to-one"
"NCT00703742",20231206,"one-to-one"
"NCT00709358",28374097,"one-to-one"
"NCT00709410",22954655,"one-to-one"
"NCT00709410",22848772,"one-to-one"
"NCT00704912",27253669,"one-to-one"
"NCT00704912",27172435,"one-to-one"
"NCT00704912",26401593,"one-to-one"
"NCT00709046",22369682,"one-to-one"
"NCT00708656",28274254,"one-to-one"
"NCT00703534",27712711,"one-to-one"
"NCT00703534",25304129,"one-to-one"
"NCT00703534",23919738,"one-to-one"
"NCT00702936",19463506,"one-to-one"
"NCT00704561",20630463,"one-to-one"
"NCT00709124",25307979,"one-to-one"
"NCT00709124",22421734,"one-to-one"
"NCT00709124",20046132,"one-to-one"
"NCT00707369",30825384,"one-to-one"
"NCT00707369",30326764,"one-to-one"
"NCT00707369",27393928,"one-to-one"
"NCT00707369",26250060,"one-to-one"
"NCT00702065",25558798,"one-to-one"
"NCT00702065",23414459,"one-to-one"
"NCT01883713",29696581,"one-to-one"
"NCT01888549",29016626,"one-to-one"
"NCT01888536",27045252,"one-to-one"
"NCT01881399",28742709,"one-to-one"
"NCT01884506",26561622,"one-to-one"
"NCT01888900",26733671,"one-to-one"
"NCT01884766",25894585,"one-to-one"
"NCT01888120",28449352,"one-to-one"
"NCT01885507",28315940,"one-to-one"
"NCT01885923",26176646,"one-to-one"
"NCT01886326",25064672,"one-to-one"
"NCT01886326",24351876,"one-to-one"
"NCT01882257",26297810,"one-to-one"
"NCT01881568",25471907,"one-to-one"
"NCT01885845",25128176,"one-to-one"
"NCT01886014",24150470,"one-to-one"
"NCT01886027",28643436,"one-to-one"
"NCT01888913",27146511,"one-to-one"
"NCT01888913",26850762,"one-to-one"
"NCT01888237",29804294,"one-to-one"
"NCT01887197",27009167,"one-to-one"
"NCT01885104",27486340,"one-to-one"
"NCT01884129",24844673,"one-to-one"
"NCT01882335",29474479,"one-to-one"
"NCT01889004",29935582,"one-to-one"
"NCT01889004",29935581,"one-to-one"
"NCT01880827",28096259,"one-to-one"
"NCT01887145",26441187,"one-to-one"
"NCT01889342",28541060,"one-to-one"
